,Date,AAPL Open (USD),AAPL High (USD),AAPL Low (USD),AAPL Close (USD),AAPL Adj. Close (USD),AAPL Volume (Number of Shares),NDAQ Open (USD),NDAQ High (USD),NDAQ Low (USD),NDAQ Close (USD),NDAQ Adj. Close (USD),NDAQ Volume (Number of Shares)
50,2016-12-12,28.3225,28.75,28.122499,28.325001,26.395344,105497600,5428.220215,5434.899902,5394.419922,5412.540039,5412.540039,1931840000
51,2016-12-13,28.459999,28.98,28.4375,28.797501,26.835657,174935200,5433.569824,5486.75,5430.720215,5463.830078,5463.830078,2094860000
52,2016-12-14,28.76,29.049999,28.745001,28.797501,26.835657,136127200,5465.689941,5476.25,5425.72998,5436.669922,5436.669922,1976570000
53,2016-12-15,28.844999,29.182501,28.807501,28.955,26.982426,186098000,5443.509766,5485.120117,5439.390137,5456.850098,5456.850098,2101320000
54,2016-12-16,29.1175,29.125,28.9125,28.9925,27.017372,177404400,5467.819824,5474.580078,5426.009766,5437.160156,5437.160156,3281480000
55,2016-12-19,28.950001,29.344999,28.9375,29.16,27.173468,111117600,5441.200195,5483.419922,5436.540039,5457.439941,5457.439941,1688680000
56,2016-12-20,29.184999,29.375,29.17,29.237499,27.245682,85700000,5473.529785,5489.470215,5471.709961,5483.939941,5483.939941,1679630000
57,2016-12-21,29.200001,29.35,29.195,29.264999,27.271307,95132800,5482.629883,5486.259766,5465.310059,5471.430176,5471.430176,1496850000
58,2016-12-22,29.0875,29.127501,28.91,29.0725,27.091927,104343600,5472.009766,5472.009766,5432.77002,5447.419922,5447.419922,1585470000
59,2016-12-23,28.897499,29.129999,28.897499,29.129999,27.145508,56998000,5441.759766,5462.689941,5441.759766,5462.689941,5462.689941,1144900000
60,2016-12-27,29.129999,29.450001,29.122499,29.315001,27.317904,73187600,5470.759766,5512.370117,5469.609863,5487.439941,5487.439941,1219050000
61,2016-12-28,29.379999,29.504999,29.049999,29.190001,27.201418,83623600,5497.439941,5498.910156,5434.700195,5438.560059,5438.560059,1326660000
62,2016-12-29,29.112499,29.2775,29.1,29.182501,27.194427,60158000,5437.509766,5450.629883,5415.180176,5432.089844,5432.089844,1266350000
63,2016-12-30,29.1625,29.299999,28.8575,28.955,26.982426,122345200,5440.169922,5441.899902,5371.890137,5383.120117,5383.120117,1551690000
64,2017-01-03,28.950001,29.0825,28.690001,29.0375,27.059307,115127600,5425.620117,5452.569824,5397.990234,5429.080078,5429.080078,1887670000
65,2017-01-04,28.9625,29.127501,28.9375,29.004999,27.029022,84472400,5440.910156,5482.350098,5440.240234,5477.0,5477.0,1885490000
